name	rating	lat	lon	idx	address
Школа № 1554	40	55.865429	37.610013	167	Россия, Москва, Северный бульвар, 4А
Школа № 2009	41	55.540792429	37.518549653	168	Россия, Москва, улица Адмирала Руднева, 16к1
Школа № 2009	41	55.53573	37.518473	169	Россия, Москва, Южнобутовская улица, 76, корп. 1
Школа № 2009	41	55.539023	37.529657	170	Россия, Москва, Южнобутовская улица, 52к2
Школа № 2009	41	55.544865	37.519538	171	Россия, Москва, Бартеневская улица, 49, корп. 4
Школа № 2009	41	55.545172	37.521057	172	Россия, Москва, улица Адмирала Лазарева, 40, корп. 2
Школа № 1253	42	55.73272	37.59073	173	Россия, Москва, улица Тимура Фрунзе, 3, стр. 2
Школа № 1253	42	55.73487899	37.59248701	174	Россия, Москва, Зубовский бульвар, 5, стр. 1
Школа № 2054	43	55.76544036694117	37.61396706236678	175	Россия, Москва, улица Петровка, 23/10с21
Школа № 2054	43	55.77253503	37.62579536	176	Россия, Москва, Трубная улица, 36
Школа № 2054	43	55.764709	37.614346	177	Россия, Москва, улица Петровка, 23/10с18
Школа № 2054	43	55.772443	37.618124	178	Россия, Москва, Большой Каретный переулок, 22, стр. 6
Школа № 2054	43	55.769048	37.60323	179	Россия, Москва, Воротниковский переулок, 2/11
Школа № 2054	43	55.768727	37.625404	180	Россия, Москва, Пушкарёв переулок, 4
Школа № 2054	43	55.772454102	37.627003766	181	Россия, Москва, Садовая-Сухаревская улица, 12А
Школа № 2054	43	55.768544	37.602125	182	Россия, Москва, Дегтярный переулок, 7
Школа № 1575	44	55.801162	37.546607	183	Россия, Москва, Планетная улица, 23
Школа № 1575	44	55.804837	37.531778	184	Россия, Москва, улица Усиевича, 6
Колледж Малого Бизнеса № 4	45	55.736878	37.62731	185	Россия, Москва, Пятницкая улица, 46, стр. 3
Колледж Малого Бизнеса № 4	45	55.739434	37.641985	186	Россия, Москва, Садовническая улица, 57А, стр. 1
Школа Интеллектуал	46	55.71808565424125	37.464482317790946	187	Россия, Москва, Кременчугская улица, 13
Школа № 1955	47	55.884885	37.683154	188	Россия, Москва, Тайнинская улица, 15, корп. 3
Школа № 1955	47	55.872516	37.680392	189	Россия, Москва, Изумрудная улица, 13, корп. 3
Школа № 1955	47	55.87944	37.688782	190	Россия, Москва, 2-я Напрудная улица, 17А
